Restaurant_name,Location,Country_ID,Country,Latitude,Longitude,Awarded_since,Chef,Price_Range,Price_Lower,Price_Upper,Cuisine_Type,Comfortable_Level,Vegetarian,Outdoor_Dining,Specialty
L'Oustau de Baumanière,"Mas de Baumanière, Les Baux-de-Provence, 13520, France",FRA,France,43.747023,4.795816,2020,Glenn Viel,123-249,123,249,Modern Cuisine,5,0,1,". Rouget onctueux, crème fermière, écailles croustillantes et socca
. Pigeonneau dans un nid de foin, champignon de Paris légèrement fumé et pulpe d'abricot
. Millefeuille tradition Baumanière à la vanille de Madagascar"
La Bouitte,"à St-Marcel, Saint-Martin-de-Belleville, 73440, France",FRA,France,45.369109,6.513324,2015,René and Maxime Meilleur,183-362,183,362,Creative,3,0,1,". Omble chevalier nacré, badigeonné de génépi, pousses de roquette
. Pigeonneau rôti, pommes de terre fondantes, ragoût sur toast, champignons et chénopodes
. Le lait dans tous ses états"
Le Petit Nice,"Anse de Maldormé, Marseille, 13007, France",FRA,France,43.280123,5.352097,2008,Gérald Passédat,130-422,130,422,Seafood,4,1,1,". Poissons du sud en caravane nordique, poutargue, caviar et grattons
. Loup de palangre ""Lucie Passedat""
. Nougat évanescent au lait d’amande, pistache et miel"
Flocons de Sel,"1775 route du Leutaz, Megève, 74120, France",FRA,France,45.830263,6.596868,2012,Emmanuel Renaut,195-335,195,335,Creative,3,1,0,". Filet de féra du lac Léman cuit au sel servi froid, jus à la berce
. Tourte de gibier de nos montagnes, jus à la mondeuse
. Tarte tiède au chocolat légèrement fumée, glace au bois"
Mirazur,"30 avenue Aristide-Briand, Menton, 06500, France",FRA,France,43.785928,7.528068,2019,Mauro Colagreco,281,281,281,Creative,3,1,0,". Betterave en croûte de sel, sauce au caviar
. Pigeon, fraises des bois et épeautre
. ""Naranjo en flor"" : crème de safran, espuma d'amande et sorbet orange"
Le Louis XV - Alain Ducasse à l'Hôtel de Paris,"place du Casino, Monte-Carlo, 98000, France",FRA,France,43.739188,7.427151,1990,Franck Cerutti and Dominique Lory,195-411,195,411,Mediterranean Cuisine,5,0,1,". Gamberoni de San Remo, fine gelée de poissons de roche et caviar
. Loup de Méditerranée aux agrumes du mentonnais
. Baba au rhum de votre choix, crème mi-montée"
Le Bois sans Feuilles - Troisgros,"728 route de Villerest, Ouches, 42155, France",FRA,France,46.009696,3.991942,1968,Michel and César Troisgros,178-519,178,519,Creative,4,1,0,". Champs colorés d'artichauts
. Lotte aux baies potagères
. Légèreté au sésame et au sarrasin"
Kei,"5 rue du Coq-Heron, Paris, 75001, France",FRA,France,48.864359,2.342078,2020,Kei Kobayashi,63-303,63,303,Modern Cuisine,3,0,0,". Jardin de légumes croquants, saumon fumé, mousse de roquette, émulsion de citron, vinaigrette de tomates et crumble d'olives noires
. Bar de ligne rôti sur ses écailles croustillantes
. Smoothie aux fruits exotiques et sucre soufflé"
L'Ambroisie,"9 place des Vosges, Paris, 75004, France",FRA,France,48.85536,2.364354,1988,Bernard Pacaud,238-357,238,357,Classic Cuisine,4,1,0,". Feuillantines de langoustines aux graines de sésame, sauce curry
. Escalopines de bar à l'émincé d'artichaut, caviar golden
. Tarte fine sablée au cacao amer, crème glacée à la vanille Bourbon"
Guy Savoy,"11 quai de Conti, Paris, 75006, France",FRA,France,48.856717,2.33915,2002,Guy Savoy,270-517,270,517,Creative,4,0,0,". Soupe d'artichaut à la truffe noire, brioche feuilletée aux champignons et aux truffes
. Canette maturée aux épices, gratin de bette au laurier
. Mille feuilles ouvertes à la vanille de Tahiti"
Arpège,"84 rue de Varenne, Paris, 75007, France",FRA,France,48.85575,2.317005,1996,Alain Passard,189-454,189,454,Creative,3,1,0,". Chaud-froid d’œuf au sirop d'érable, vinaigre de Xérès et quatre épices
. Jardinière arlequin et merguez végétale
. Tarte aux pommes bouquet de roses et caramel lacté"
Alain Ducasse au Plaza Athénée,"25 avenue Montaigne, Paris, 75008, France",FRA,France,48.86624,2.304219,2016,Romain Meder,227-427,227,427,Creative,5,0,0,". Pois chiche des Hautes-Alpes, caviar doré
. Homard de Normandie, radis et cresson de fontaine, herbes pilées
. Citron niçois, algues kombu à l'estragon"
Alléno Paris au Pavillon Ledoyen,"8 avenue Dutuit, Paris, 75008, France",FRA,France,48.866097,2.316456,2015,Yannick Alléno,227-487,227,487,Modern Cuisine,5,0,0,". Tarte de langoustine aux grains de caviar
. Feuille à feuille de bœuf Wagyu aux gros Paris
. Extraction de sapin en gelée glacée au café et éclats de cristalline épicés"
Epicure,"112 rue du Faubourg-Saint-Honoré, Paris, 75008, France",FRA,France,48.871742,2.31485,2009,Éric Fréchon,124-411,124,411,Modern Cuisine,5,0,1,". Macaronis farcis, truffe noire, artichaut et foie gras gratinés au vieux parmesan
. Merlan de ligne en croûte de pain de mie aux amandes, tétragone à l'huile de curry
. Citron de Menton givré au limoncello et citron confit aux saveurs de pêche blanche et verveine"
Le Cinq,"31 avenue George-V, Paris, 75008, France",FRA,France,48.868785,2.300239,2016,Christian Le Squer,162-422,162,422,Modern Cuisine,5,1,0,". Langoustines bretonnes raidies, mayonnaise tiède et galettes de sarrasin croquantes
. Bar de ligne, caviar et lait ribot de mon enfance
. Givré laitier au goût de levure"
Pierre Gagnaire,"6 rue Balzac, Paris, 75008, France",FRA,France,48.87325,2.300451,1998,Pierre Gagnaire,106-454,106,454,Creative,4,0,0,". Parfums de terre
. Canard au chocolat
. Le grand dessert"
Le Pré Catelan,"Route de Suresnes - Bois de Boulogne, Paris, 75016, France",FRA,France,48.864011,2.250738,2007,Frédéric Anton,151-346,151,346,Creative,5,0,0,". Langoustine préparée en ravioli au foie gras, fine gelée à la feuille d’or
. Saumon fumé au bois de cerisier, crème de wasabi, biscuit et fleur de courgette
. Pomme soufflée croustillante, crème glacée au caramel, cidre et sucre pétillant"
Régis et Jacques Marcon,"Larsiallas, Saint-Bonnet-le-Froid, 43290, France",FRA,France,45.138877,4.433318,2005,Régis and Jacques Marcon,189-303,189,303,Creative,4,0,0,". Chaud et froid de langoustines à la reine-des-prés
. Omble chevalier en court bouillon de serpolet et velouté à la verveine
. Feuillets croustillants à l’amande, compotée d’abricots et caramel de morilles"
La Vague d'Or,"plage de la Bouillabaisse, Saint-Tropez, 83990, France",FRA,France,43.266968,6.627163,2013,Arnaud Donckele,260-411,260,411,Creative,4,0,1,". La borgne contemporaine
. Saint-pierre cuit en immersion d'haliotis de la lagune de Thau, poireau crayon et oignon rouge
. Accord autour de l’abricot, de l’amande et du thym serpolet"
L'Assiette Champenoise,"40 avenue Paul-Vaillant-Couturier, à Tinqueux, Reims, 51430, France",FRA,France,49.247672,4.003811,2014,Arnaud Lallement,119-341,119,341,Creative,4,1,0,". Langoustine royale, citron caviar et nage crémée
. Homard bleu ""hommage à mon papa""
. Chocolat croquant"
Pic,"285 avenue Victor-Hugo, Valence, 26000, France",FRA,France,44.917624,4.8856,2007,Anne-Sophie Pic,130-411,129.66,410.59,Creative,5,1,0,". Berlingots au banon, thé matcha bergamote
. Ris de veau de lait
. Millefeuille blanc, crème légère à la vanille de Tahiti"
Georges Blanc,"Place du Marché, Vonnas, 01540, France",FRA,France,46.219554,4.990038,1984,Georges Blanc,222-319,221.5,318.75,Creative,4,0,0,". Truite de la source du moulin de l'Etre au safran de Bresse pimenté
. Poularde de Bresse ""Elisa Blanc"", crêpes vonnassienne
. Dans l'esprit d'un saint-honoré, variation d'agrumes à la verveine odorante"
The Waterside Inn,"Ferry Road, Bray, SL6 2AT, United Kingdom",GBR,United Kingdom,51.509049,-0.701781,1985,Alain Roux,76-208,76,208,French,4,1,0,Tronçonnettes de homard poêlées minute au porto blanc. 
The Fat Duck,"High Street, Bray, SL6 2AQ, United Kingdom",GBR,United Kingdom,51.507914,-0.7039367,2004,Heston Blumenthal,387,,387,Creative,3,0,0,Sound of the sea
Restaurant Gordon Ramsay,"68-69 Royal Hospital Road, Chelsea, SW3 4HP, United Kingdom",GBR,United Kingdom,51.4854834,-0.1643114,2001,Gordon Ramsay and Matt Abé,83-220,83,220,French,4,1,0,"Ravioli of lobster, langoustine and salmon with sorrel"
Alain Ducasse at the Dorchester,"Park Lane, Mayfair, W1K 1QA, United Kingdom",GBR,United Kingdom,51.5072938,-0.1523412,2010,Jean-Philippe Blondet,83-209,83,209,French,5,1,0,Dorset crab with celeriac and caviar
Sketch (The Lecture Room and Library),"9 Conduit Street, Mayfair, W1S 2XG, United Kingdom",GBR,United Kingdom,51.512693,-0.141529,2020,Pierre Gagnaire,136-150,136,150,French,5,1,0,"9 Conduit St soufflé, leeks with English mustard"
De Librije,"Spinhuisplein 1, Zwolle, 8011 ZZ, Netherlands",NLD,Netherlands,52.5153889,6.0977556,2004,Jonnie Boer,114-228,114,228,Modern Cuisine,4,1,0,"Langoustines met tomato, kombucha en kouseband"
Inter Scaldes,"Zandweg 2, Kruiningen, 4416 NA, Netherlands",NLD,Netherlands,51.4570412,4.022418,2018,Jannis Brevet,151-293,151,293,Modern Cuisine,4,0,1,"Zeeuwse kreeft met artisjok, hoeve-ei, pistachio,truffle en oranjebloesem"
Cheval Blanc,"Blumenrain 8, Basel, 4001, Switzerland",CHE,Switzerland,47.560466,7.587671,2016,Peter Knogl,151-255,151,255,Classic French,4,0,1,"Langoustino Madras Curry, Granny Smith Appel and Salzzitrone"
Restaurant de l'Hôtel de Ville,"Rue d'Yverdon 1, Crissier, 1023, Switzerland",CHE,Switzerland,46.5540659,6.5766573,1992,Franck Giovannini,184-398,184,398,Classic French,4,0,0,Noix de Saint-Jacques caramélisées aux grains de Chasselas réduction gourmande au Saivignon doux
Schloss Schauenstein,"Schlossgass 77, Fürstenau, 7414, Switzerland",CHE,Switzerland,46.7213317,9.4457825,2011,Andreas Caminada,184-342,184,342,Creative,3,0,0,"Gebeizter Zander, gesalzene Aprikose, Dill"
Les Amis,"Shaw Centre, #01-16 Scotts Road, Singapore",SGP,Singapore,1.3066019,103.8314361,2019,Sébastian Lepinoy,89-291,89,291,French,3,0,0,Not Available
Odette,"National Gallery Singapore, #01-04, 1 St., Andrew Road, Singapore",SGP,Singapore,1.2897067,103.8514433,2019,Julien Royer,89-227,89,227,French Contemporary,4,0,0,Not Available
Gaon,"M Floor Horim Art Center, 317 Dosandaero, Gangnam-gu, Seoul, South Korea",KOR,South Korea,37.522478,127.036077,2016,Kim Byoung-Jin,244,,244,Korean,3,0,0,Not Available
La Yeon,"23F Shilla Hotel, 249 Dongho-ro, Jung-gu, Seoul, South Korea",KOR,South Korea,37.5562317,127.0054476,2016,Kim Sung-II,88-220,88,220,Korean,4,0,0,Not Available
Xin Rong Ji,"1F, East Tower, Genesis Beijing, 8 Xinyuan South Road, Chaoyang, Beijing, China",CHN,China,31.2281,121.4506,2020,Li Dong,65-130,65,130,Taizhou,3,0,0,Not Available
Ultraviolet,"6F, Bund 18, 18 Zhongshan Dong Yi Road, Huangpu, China",CHN,China,31.239264,121.489651,2018,Paul Pairet,600-860,600,860,Avant-garde Figurative,3,0,0,Not Available
Restaurant Amador,"Grinzingerstr.86, Wien, 1190, Austria",AUT,Austria,48.2539302,16.3586121,2019,Juan Amador,75-255,75,255,Creative,3,0,1,"Carabineros, Karfiol, Lisette, Turron"
Hof van Cleve,"Riemegemstraat 1, Kruishoutem, 9770, Belgium",BEL,Belgium,50.903652,3.5096786,2005,Peter Goossens,211-482,211,482,Creative,4,1,1,"Langoustine uit Guilvinec met romanesco, artisjok en dashi"
Geranium,"Per Henrik Lings Allé, Parken National Stadium, København, 2100 Ø, Denmark",DNK,Denmark,55.7036082,12.5721074,2016,Rasmus Kofoed,377,,377,Creative,4,0,0,Crispy leaves of Jerusalem artichoke with pickled walnut
Maaemo,"Dronning Eufemias gate 23, 0194 Oslo, Norway",NOR,Norway,59.9075576,10.758191,2016,Esben Holmboe Bang,319,,319,"Organic, Wild Food and Produce",4,1,0,Not Available
Frantzén,"Kalra Norra Kyrkogata 26, Stockholm, 11122, Sweden",SWE,Sweden,59.3338761,18.0585758,2018,Bj̈orn Frantzén,348,,348,Modern Cuisine,3,0,0,French toast ' Grand Tradition 2008'
Le Palais,"17F, Palais de Chine Hotel, 3, Section 1, Chengde Road, Datong, Taipei, 110,Taiwan",TWN,Taiwan,25.0494693,121.5168741,2018,Ken Chan and Matt Chen,36-93,36,93,Cantonese,2,0,0,Not Available
Alinea,"1723 N. Halsted St., Chicago, 60614, United States",USA,United States,41.9134,-87.6482,2011,Grant Achatz and Simon Davies,250 - 270,250,270,Contemporary,4,0,0,Not Available
SingleThread,"131 North St., Healdsburg, 95448, United States",USA,United States,38.612333,-122.869658,2019,Kyle Connaughton,75 - 150,75,150,Contemporary,4,0,0,Not Available
Manresa,"320 Village Ln., Los Gatos, 95030, United States",USA,United States,37.227397,-121.980769,2016,David Kinch and Nicholas Romero,75 - 150,75,150,Contemporary,3,0,0,Not Available
Le Bernardin,"155 W. 51st St., New York, 10019, United States",USA,United States,40.761389,-73.981667,2006,"Éric Ripert, Chris Muller, and Eric Gestel",75 - 150,75,150,Seafood,4,0,0,Not Available
Per Se,"10 Columbus Circle, New York, 10019, United States",USA,United States,40.768735,-73.982938,2006,Thomas Keller and Corey Chow,75 - 150,75,150,Contemporary,5,0,0,Not Available
Masa,"10 Columbus Circle, New York, 10019, United States",USA,United States,40.768056,-73.981944,2009,Masa Takayama,75 - 150,75,150,Japanese,2,0,0,Not Available
Eleven Madison Park,"11 Madison Ave., New York, 10010, United States",USA,United States,40.741673,-73.987242,2012,Daniel Humm and Brian Lockwood,125,,125,Contemporary,4,0,0,Not Available
Chef's Table at Brooklyn Fare,"431 W. 37th St., New York, 10018, United States",USA,United States,40.7561266,-73.9986504,2012,César Ramírez,75 - 395,75,395,Contemporary,3,0,0,Not Available
Atelier Crenn,"3127 Fillmore St., San Francisco, 94123, United States",USA,United States,37.79895,-122.43588,2019,Dominique Crenn,75 - 150,75,150,Contemporary,3,0,0,Not Available
Benu,"22 Hawthorne St., San Francisco, 94105, United States",USA,United States,37.785407,-122.399112,2015,Corey Lee and Brandon Rodgers,75 - 150,75,150,Asian,3,0,0,Not Available
Quince,"470 Pacific Ave., San Francisco, 94133, United States",USA,United States,37.797566,-122.403396,2017,Michael Tusk and Neil Stetz,75 - 150,75,150,Contemporary,4,0,0,Not Available
The Restaurant at Meadowood,"900 Meadowood Ln., St. Helena, 94574, United States",USA,United States,38.522222,-122.467222,2011,Christopher Kostow and John Hong,75 - 150,75,150,Contemporary,4,0,0,Not Available
The Inn at Little Washington,"309 Middle St., Washington, D.C., 22747, United States",USA,United States,38.713473,-78.159529,2019,Patrick O’Connell,149 - 238,149,238,American,3,0,0,Not Available
The French Laundry,"6640 Washington St., Yountville, 94599, United States",USA,United States,38.404459,-122.36521,2007,Thomas Keller and David Breeden,75 - 150,75,150,Contemporary,4,0,0,Not Available
Piazza Duomo,"vicolo dell'Arco 1, angolo piazza Risorgimento 4, ALBA, 12051, Italy",ITA,Italy,44.70052,8.03598,2013,Enrico Crippa,216 - 314,216,314,Creative,3,1,0,"Insalata 21 
31 
41 
51 
Agnello e camomilla 
Panna cotta Matisse"
Da Vittorio,"via Cantalupa 17, BRUSAPORTO, 24060, Italy",ITA,Italy,45.6771927,9.7721291,2010,Vittorio Cerea,87 - 303,87,303,Modern Cuisine,4,0,1,"Uovo all'uovo 
Moro antartico con crema di wasabi gratinata 
Cioco punch"
Dal Pescatore,"località Runate - Canneto sull'Oglio, Runate, 46013, Italy",ITA,Italy,45.17108,10.35911,1996,Nadia Santini,130 - 270,130,270,Modern Cuisine,4,0,1,"Misticanza dell'orto con orata marinata, mousse di melanzane, burrata e maionese allo zenzero. 
Sella di capriolo con salsa al cabernet e mirtilli neri. Meringa con mousse di pistacchio di Bronte e zabaione al Marsala"
Reale,"contrada Santa Liberata, località Casadonna, Castel di Sangro, 67031, Italy",ITA,Italy,41.77518,14.38384,2014,Niko Romito,108 - 227,108,227,Creative,4,0,0,"Cavolfiore gratinato. 
Piccione, chiodi di garofano, acqua e senape. 
Cioccolato bianco, aceto balsamico, granita di liquirizia e aceto bianco"
Enoteca Pinchiorri,"via Ghibellina 87, Firenze, 50122, Italy",ITA,Italy,43.77003,11.26232,1993,"Annie Féolde, Italo Bassi, and Riccardo Monco",222 - 384,222,384,Modern Cuisine,4,0,1,"Ricciola appena scottata nell'olio, capperi, guanciale e porri, raviolo croccante di ostriche e riduzione di cavolo cappuccio. 
Filetti di triglia avvolti nel pane toscano, purea di finocchio candito nell'olio extra vergine e intingolo di maruzzelle. 
Budino soffice al latte, con gelato al caffè e prugne leggermente marinate"
Enrico Bartolini al Mudec,"via Tortona 56, Milano, 20123, Italy",ITA,Italy,45.45205,9.16132,2020,Enrico Bartolini,124 - 325,124,325,Creative,4,0,0,"Alici, ostrica e caviale 2019.
Spaghetto all'anguilla affumicata.
Zabaione tradizionale, albero di arance e gelato al pistacchio di Bronte"
Osteria Francescana,"via Stella 22, Modena, 41121, Italy",ITA,Italy,44.64481,10.92155,2012,Massimo Bottura,238 - 541,238,541,Creative,4,0,0,"In campagna: lumache, lepre ed erbe aromatiche.
A volte germano, a volte pernice ma anche bollito.
Ooops! Mi è caduta la crostata al limone"
La Pergola,"via Flaminia km 63,900, MAGLIANO SABINA, 02046, Italy",ITA,Italy,41.9188782,12.47063,2005,Heinz Beck,38 - 45,38,45,Roman,2,0,1,Not Available
Le Calandre,"via Liguria 1, località Sarmeola, RUBANO, 35030, Italy",ITA,Italy,45.4217744,11.8074542,2002,Massimiliano Alajmo,146 - 243,146,243,Creative,4,0,0,"Mare Mediterraneo. 
Uovo croccante alla ventresca di tonno. 
Gioco al cioccolato 2020"
St. Hubertus,"strada Micura de Rue 20, San Cassiano/Sankt Kassian, 39030, Italy",ITA,Italy,46.52674,11.9291244,2018,Norbert Niederkofler,238 - 325,238,325,Creative,4,0,0,"Tartare di coregone. 
Agnello della Val d'Isarco. 
Tarte Tatin"
Uliassi,"banchina di Levante 6, SENIGALLIA, 60019, Italy",ITA,Italy,43.7194998,13.2186189,2019,Mauro Uliassi,130 - 206,130,206,Modern Cuisine,3,0,1,"Rimini fest. 
Spigola, pesche, morchelle al vino bianco. 
Millefoglie, amarene di Cantiano, parfait al verdicchio, e chantilly alla cannella"
Lasarte,"Mallorca 259, Barcelona, 08008, Spain",ESP,Spain,41.39364,2.16213,2016,Martín Berasategui and Paolo Casagrande,141 - 265,141,265,Creative,4,0,0,"Ravioli de wagyu y anguila glaseada, crema yodada, raifort y caviar. 
Pez rey asado con pil pil de almejas, nécora, champagne y una crema fina de avellana. 
Esferas de cardamomo, manzana y yogur"
ABaC,"Avenida del Tibidabo 1, Barcelona, 08022, Spain",ESP,Spain,41.41044,2.13654,2018,Jordi Cruz,206 - 227,206,227,Creative,4,0,1,"Bloody Mary on the rocks. 
Ventresca de atún a la parrilla con crema de compota de ajos, leche de almendras, dátiles y aceite de oliva. 
Caja frágil de chocolate"
Quique Dacosta Restaurante,"Rascassa 1 (Urbanización El Poblet), Noroeste : 3 km, Dénia, 03700, Spain",ESP,Spain,38.8537209,0.0829363,2012,Quique Dacosta,227,227,,Creative,3,0,0,"Carro de salazones 
Raya a la mantequilla negra 
Sopa de almendras"
Aponiente,"Francisco Cossi Ochoa (Molino de Mareas El Caño), El Puerto de Santa María, 11500, Spain",ESP,Spain,36.603146,-6.2185998,2018,Ángel León,211 - 243,211,243,Creative,4,0,0,"Flan de huevas de lisa 
Botillo marino 
Quesos del mar"
